numba_parallel.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.377, Time: 0.029685 s
         1743071 function calls (1714811 primitive calls) in 1.440 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      701    0.000    0.000    0.001    0.000 _compiler.py:398(_simple)
     1228    0.000    0.000    0.000    0.000 templates.py:276(__init__)
      210    0.000    0.000    0.001    0.000 <frozen posixpath>:71(join)
     1254    0.000    0.000    0.002    0.000 context.py:517(insert_global)
      888    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
       86    0.000    0.000    0.001    0.000 <frozen zipimport>:64(__init__)
      148    0.000    0.000    0.001    0.000 typing.py:1609(__hash__)
      295    0.000    0.000    0.001    0.000 __init__.py:389(__getattr__)
      515    0.000    0.000    0.001    0.000 ffi.py:334(close)
      344    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
      511    0.000    0.000    0.002    0.000 ffi.py:377(__del__)
     1892    0.000    0.000    0.000    0.000 typing.py:1599(<genexpr>)
      891    0.000    0.000    0.001    0.000 colors.py:218(_is_nth_color)
       86    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1567(__init__)
      323    0.000    0.000    0.003    0.000 functions.py:266(augment)
      835    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:982(find_spec)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
      308    0.000    0.000    0.004    0.000 value.py:157(name)
       65    0.000    0.000    0.001    0.000 inspect.py:3262(__str__)
      888    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
       64    0.000    0.000    0.004    0.000 util.py:361(replaced_by_pep8)
      638    0.000    0.000    0.003    0.000 __init__.py:164(match)
      239    0.000    0.000    0.008    0.000 templates.py:1188(make_overload_method_template)
        2    0.000    0.000    0.046    0.023 old_builtins.py:1(<module>)
        1    0.000    0.000    0.006    0.006 arrayobj.py:1(<module>)
      148    0.000    0.000    0.001    0.000 _parser.py:449(_uniq)
      392    0.000    0.000    0.001    0.000 inspect.py:2781(replace)
       86    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1644(_fill_cache)
     1352    0.000    0.000    0.000    0.000 _parser.py:113(__init__)
      849    0.000    0.000    0.000    0.000 enum.py:48(_is_dunder)
      148    0.000    0.000    0.001    0.000 font_manager.py:989(_json_decode)
