numpy_vec_get_order_all_energy.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.273, Time: 2.359681 s
         1319004 function calls (1303532 primitive calls) in 3.263 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     78/4    0.000    0.000    0.002    0.000 core.py:977(_parseCache)
     1181    0.000    0.000    0.000    0.000 typing.py:1246(<genexpr>)
      822    0.000    0.000    0.000    0.000 _parser.py:83(groups)
     62/9    0.000    0.000    0.004    0.000 core.py:3884(leave_whitespace)
       63    0.000    0.000    0.000    0.000 enum.py:1008(_find_data_type_)
      641    0.000    0.000    0.000    0.000 inspect.py:295(isclass)
        1    0.000    0.000    0.007    0.007 numeric.py:1(<module>)
      223    0.000    0.000    0.001    0.000 {built-in method builtins.any}
      792    0.000    0.000    0.000    0.000 {function RcParams.__getitem__ at 0x1531504ea5c0}
      210    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
       12    0.000    0.000    0.001    0.000 __init__.py:223(define_aliases)
      100    0.000    0.000    0.002    0.000 fromnumeric.py:2979(prod)
       66    0.000    0.000    0.001    0.000 inspect.py:2095(_signature_bound_method)
      420    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
      680    0.000    0.000    0.000    0.000 enum.py:202(__get__)
       39    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1644(_fill_cache)
      727    0.000    0.000    0.000    0.000 {method '__subclasses__' of 'type' objects}
       93    0.000    0.000    0.000    0.000 _parser.py:449(_uniq)
       51    0.000    0.000    0.001    0.000 fromnumeric.py:2177(sum)
        1    0.000    0.000    0.008    0.008 cm.py:32(_gen_cmap_registry)
        6    0.000    0.000    0.001    0.000 getlimits.py:34(__init__)
       39    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1456(_path_hooks)
       29    0.000    0.000    0.001    0.000 typing.py:1047(_generic_class_getitem)
      369    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
       28    0.000    0.000    0.001    0.000 __init__.py:1377(getLogger)
    72/12    0.000    0.000    0.006    0.001 core.py:4127(parseImpl)
      190    0.000    0.000    0.000    0.000 _compiler.py:467(_get_charset_prefix)
      114    0.000    0.000    0.000    0.000 <frozen posixpath>:71(join)
        1    0.000    0.000    0.001    0.001 helpers.py:153(one_of)
      497    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
      147    0.000    0.000    0.000    0.000 _compiler.py:216(_compile_charset)
      132    0.000    0.000    0.001    0.000 ast.py:419(visit_Constant)
       39    0.000    0.000    0.001    0.000 <frozen zipimport>:64(__init__)
        1    0.000    0.000    0.002    0.002 getlimits.py:162(_register_known_types)
      779    0.000    0.000    0.000    0.000 {built-in method sys.getrecursionlimit}
    379/1    0.000    0.000    0.000    0.000 __config__.py:19(_cleanup)
       39    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1567(__init__)
      210    0.000    0.000    0.000    0.000 _parser.py:953(fix_flags)
        1    0.000    0.000    0.009    0.009 ExifTags.py:1(<module>)
